step,action,reward,done,agent_x,agent_y,agent_z,agent_energy,altitude,steps_so_far,energy,total_nectar_collected,flowers_found_this_episode,last_flower_visited,nearest_flower_distance
136,2,-0.06090000000000001,False,4.0,2.0,3.0,78.19999694824219,3.0,137,78.19999999999999,123.0,0,-1,1.40110182762146
137,1,-0.06140000000000001,False,4.0,3.0,3.0,77.19999694824219,3.0,138,77.19999999999999,123.0,0,-1,1.9846709966659546
138,2,-0.06190000000000001,False,3.0,3.0,3.0,76.19999694824219,3.0,139,76.19999999999999,123.0,0,-1,1.699415922164917
139,6,-0.063,False,3.0,3.0,3.0,74.0,3.0,140,73.99999999999999,123.0,0,-1,1.699415922164917
140,1,-0.0635,False,3.0,4.0,3.0,73.0,3.0,141,72.99999999999999,123.0,0,-1,2.352297306060791
141,0,-0.064,False,3.0,3.0,3.0,72.0,3.0,142,71.99999999999999,123.0,0,-1,1.699415922164917
142,1,-0.0645,False,3.0,4.0,3.0,71.0,3.0,143,70.99999999999999,123.0,0,-1,2.352297306060791
143,2,-0.065,False,2.0,4.0,3.0,70.0,3.0,144,69.99999999999999,123.0,0,-1,2.6954243183135986
144,3,-0.0655,False,3.0,4.0,3.0,69.0,3.0,145,68.99999999999999,123.0,0,-1,2.352297306060791
145,0,-0.066,False,3.0,3.0,3.0,68.0,3.0,146,67.99999999999999,123.0,0,-1,1.699415922164917
146,2,-0.0665,False,2.0,3.0,3.0,67.0,3.0,147,66.99999999999999,123.0,0,-1,1.9588541984558105
147,3,-0.067,False,3.0,3.0,3.0,66.0,3.0,148,65.99999999999999,123.0,0,-1,1.699415922164917
148,1,-0.0675,False,3.0,4.0,3.0,65.0,3.0,149,64.99999999999999,123.0,0,-1,2.352297306060791
149,1,24.932,False,3.0,5.0,3.0,64.0,3.0,150,63.999999999999986,123.0,0,-1,1.3733218908309937
150,6,-0.06910000000000001,False,3.0,5.0,3.0,61.79999923706055,3.0,151,61.79999999999998,123.0,0,-1,1.3733218908309937
151,0,-0.06960000000000001,False,3.0,4.0,3.0,60.79999923706055,3.0,152,60.79999999999998,123.0,0,-1,2.352297306060791
152,2,-0.07010000000000001,False,2.0,4.0,3.0,59.79999923706055,3.0,153,59.79999999999998,123.0,0,-1,2.6954243183135986
153,4,-0.07080000000000002,False,2.0,4.0,4.0,58.400001525878906,4.0,154,58.399999999999984,123.0,0,-1,2.68356990814209
154,4,-0.07150000000000001,False,2.0,4.0,5.0,57.0,5.0,155,56.999999999999986,123.0,0,-1,1.9610722064971924
155,4,-0.07220000000000001,False,2.0,4.0,6.0,55.599998474121094,6.0,156,55.59999999999999,123.0,0,-1,1.5779926776885986
156,0,29.9413,False,2.0,3.0,6.0,82.5999984741211,6.0,157,82.6,138.0,0,-1,0.788792073726654
157,2,29.948999999999998,False,1.0,3.0,6.0,98.0,6.0,158,98.0,146.69998168945312,0,-1,0.5947436690330505
158,0,-5.0515,False,1.0,2.0,6.0,97.0,6.0,159,97.0,146.69998168945312,0,-1,0.6970309019088745
159,2,-0.052000000000000005,False,0.0,2.0,6.0,96.0,6.0,160,96.0,146.69998168945312,0,-1,1.489086627960205
