model,factor,max_energy,episode,steps,nectar,energy_end,died
autonomous_training_1_25000k.zip,1.25,125,35,126,0,-0.20000000000000018,1
autonomous_training_1_25000k.zip,1.25,125,36,127,0,-0.8999999999999966,1
autonomous_training_1_25000k.zip,1.25,125,37,130,15,-0.6999999999999975,1
autonomous_training_1_25000k.zip,1.25,125,38,126,0,-0.6999999999999975,1
autonomous_training_1_25000k.zip,1.25,125,39,300,80.39997,101.9999999999998,0
autonomous_training_1_25000k.zip,1.25,125,40,300,130.79999,75.99999999999991,0
autonomous_training_1_25000k.zip,1.25,125,41,248,96.40001,-0.1000000000000234,1
autonomous_training_1_25000k.zip,1.25,125,42,300,103.79991,109.79999999999998,0
autonomous_training_1_25000k.zip,1.25,125,43,300,115.19999,48.09999999999994,0
autonomous_training_1_25000k.zip,1.25,125,44,126,0,-1.5543122344752192e-15,1
autonomous_training_1_25000k.zip,1.25,125,45,126,0,-0.29999999999999893,1
autonomous_training_1_25000k.zip,1.25,125,46,131,29.799995,-0.3000000000000058,1
autonomous_training_1_25000k.zip,1.25,125,47,300,71.39998,47.29999999999997,0
autonomous_training_1_25000k.zip,1.25,125,48,126,0,-0.40000000000000724,1
autonomous_training_1_25000k.zip,1.25,125,49,300,60.300003,46.99999999999992,0
autonomous_training_1_25000k.zip,1.5,150,0,262,58.799988,-0.8999999999999753,1
autonomous_training_1_25000k.zip,1.5,150,1,300,120,71.29999999999998,0
autonomous_training_1_25000k.zip,1.5,150,2,300,83.99999,13.600000000000044,0
autonomous_training_1_25000k.zip,1.5,150,3,300,124.69997,76.99999999999999,0
autonomous_training_1_25000k.zip,1.5,150,4,300,90.6,41.00000000000006,0
autonomous_training_1_25000k.zip,1.5,150,5,300,105,44.5,0
autonomous_training_1_25000k.zip,1.5,150,6,300,66.00001,41.60000000000004,0
autonomous_training_1_25000k.zip,1.5,150,7,150,0,-0.19999999999996976,1
autonomous_training_1_25000k.zip,1.5,150,8,174,15,-0.7999999999999527,1
autonomous_training_1_25000k.zip,1.5,150,9,300,62.999992,14.50000000000006,0
autonomous_training_1_25000k.zip,1.5,150,10,300,128.4,107.29999999999994,0
autonomous_training_1_25000k.zip,1.5,150,11,148,0,-0.40000000000001457,1
autonomous_training_1_25000k.zip,1.5,150,12,300,81.29999,95.59999999999995,0
autonomous_training_1_25000k.zip,1.5,150,13,300,87.900024,134.0,0
autonomous_training_1_25000k.zip,1.5,150,14,300,70.499985,123.59999999999994,0
autonomous_training_1_25000k.zip,1.5,150,15,300,33.199986,139.40000000000003,0
autonomous_training_1_25000k.zip,1.5,150,16,300,74.39999,70.59999999999984,0
autonomous_training_1_25000k.zip,1.5,150,17,300,79.199974,16.799999999999926,0
autonomous_training_1_25000k.zip,1.5,150,18,227,45,-0.7999999999999134,1
autonomous_training_1_25000k.zip,1.5,150,19,144,0,-0.4999999999999376,1
autonomous_training_1_25000k.zip,1.5,150,20,150,0,-0.19999999999997242,1
autonomous_training_1_25000k.zip,1.5,150,21,300,220.19995,98.60000000000001,0
autonomous_training_1_25000k.zip,1.5,150,22,196,30,-0.6999999999999051,1
autonomous_training_1_25000k.zip,1.5,150,23,300,138.29997,122.60000000000002,0
autonomous_training_1_25000k.zip,1.5,150,24,207,30,-0.49999999999999534,1
autonomous_training_1_25000k.zip,1.5,150,25,300,84.199974,111.39999999999985,0
autonomous_training_1_25000k.zip,1.5,150,26,300,71.399994,148.0,0
autonomous_training_1_25000k.zip,1.5,150,27,300,118.79999,86.20000000000002,0
autonomous_training_1_25000k.zip,1.5,150,28,300,80.39997,121.2999999999998,0
autonomous_training_1_25000k.zip,1.5,150,29,158,23.399994,-0.900000000000011,1
autonomous_training_1_25000k.zip,1.5,150,30,146,0,-0.0999999999999035,1
autonomous_training_1_25000k.zip,1.5,150,31,269,84.599976,-0.1999999999999582,1
autonomous_training_1_25000k.zip,1.5,150,32,262,57.000008,-0.10000000000000298,1
autonomous_training_1_25000k.zip,1.5,150,33,151,0,-0.1999999999999975,1
autonomous_training_1_25000k.zip,1.5,150,34,300,62.100006,96.79999999999995,0
autonomous_training_1_25000k.zip,1.5,150,35,232,45,-0.6999999999999484,1
autonomous_training_1_25000k.zip,1.5,150,36,151,0,-0.40000000000000724,1
autonomous_training_1_25000k.zip,1.5,150,37,300,87.29999,14.500000000000014,0
autonomous_training_1_25000k.zip,1.5,150,38,255,59.399986,-0.6999999999999262,1
autonomous_training_1_25000k.zip,1.5,150,39,141,0,-0.7999999999999072,1
autonomous_training_1_25000k.zip,1.5,150,40,202,30,-0.5999999999999712,1
autonomous_training_1_25000k.zip,1.5,150,41,179,15,-0.7000000000000011,1
autonomous_training_1_25000k.zip,1.5,150,42,300,121.7,69.60000000000001,0
autonomous_training_1_25000k.zip,1.5,150,43,300,88.19997,99.6999999999999,0
autonomous_training_1_25000k.zip,1.5,150,44,300,82.499985,98.09999999999997,0
autonomous_training_1_25000k.zip,1.5,150,45,300,86.99999,17.200000000000035,0
autonomous_training_1_25000k.zip,1.5,150,46,300,127.500015,95.59999999999982,0
autonomous_training_1_25000k.zip,1.5,150,47,300,39.79998,139.40000000000003,0
autonomous_training_1_25000k.zip,1.5,150,48,212,52.499996,-0.9999999999999989,1
autonomous_training_1_25000k.zip,1.5,150,49,288,75,-0.7999999999999348,1
